V.1.11 Matriculaciones de motocicletas por distintivo medioambiental. Año 2018.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;3;2;502;3;2;10
Albacete;3;0;885;3;8;21
Alicante/Alacant;16;37;6852;3;92;52
Almería;8;18;1577;0;15;21
Ávila;0;1;134;0;1;5
Badajoz;2;1;1042;3;7;14
Balears (Illes);65;23;6219;0;33;45
Barcelona;353;49;33965;10;61;301
Burgos;5;4;439;3;3;5
Cáceres;1;2;493;0;1;6
Cádiz;125;8;5301;2;15;57
Castellón/Castelló;0;6;980;0;18;35
Ciudad Real;1;6;445;2;3;6
Córdoba;1;2;1912;4;4;14
Coruña (A);1;11;1314;9;19;42
Cuenca;0;0;173;0;0;3
Girona;58;10;4109;1;15;38
Granada;4;10;3746;2;15;26
Guadalajara;0;1;281;0;1;15
Gipuzkoa;1;5;2215;3;15;9
Huelva;55;2;1174;2;3;14
Huesca;0;0;184;0;3;7
Jaén;7;3;1020;0;6;19
León;6;0;646;5;3;18
Lleida;1;2;1025;2;2;16
Rioja (La);0;0;555;0;4;13
Lugo;1;6;300;0;1;4
Madrid;2372;57;25000;24;63;378
Málaga;65;37;9677;1;52;57
Murcia;4;22;4592;6;48;67
Navarra;4;2;1150;0;8;19
Ourense;0;6;290;0;10;13
Asturias;8;4;1894;3;11;26
Palencia;0;0;128;0;1;1
Palmas (Las);71;7;3559;1;26;9
Pontevedra;19;3;2551;0;23;22
Salamanca;0;3;455;3;3;2
Santa Cruz de Tenerife;13;32;4214;3;33;15
Cantabria;1;0;1386;4;8;30
Segovia;0;0;122;0;1;4
Sevilla;26;5;5621;5;10;45
Soria;0;0;124;0;0;0
Tarragona;60;7;2811;2;14;23
Teruel;0;1;176;1;2;0
Toledo;12;2;1630;3;7;24
Valencia/València;161;24;8741;0;49;90
Valladolid;8;0;1095;4;6;20
Bizkaia;12;4;2019;3;11;12
Zamora;0;1;194;1;3;1
Zaragoza;22;3;2540;4;9;18
Ceuta;0;1;742;0;1;4
Melilla;0;0;418;0;1;1
Total;3575;430;158617;125;750;1697
