V.1.11 Matriculaciones de motocicletas por distintivo medioambiental. Año 2017.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;2;0;444;1;28;2
Albacete;0;1;650;0;78;2
Alicante/Alacant;12;52;5572;3;433;19
Almería;0;7;1085;0;92;4
Ávila;0;5;120;0;18;3
Badajoz;0;11;892;2;41;2
Balears (Illes);33;38;5911;0;522;28
Barcelona;247;110;29861;13;1078;241
Burgos;0;9;349;3;21;1
Cáceres;3;1;372;0;38;2
Cádiz;305;15;4540;2;192;24
Castellón/Castelló;2;9;907;0;53;10
Ciudad Real;1;2;346;1;26;3
Córdoba;2;7;1620;5;78;2
Coruña (A);0;17;1013;4;107;9
Cuenca;0;0;111;0;6;0
Girona;25;17;2901;0;135;19
Granada;9;7;3528;1;70;9
Guadalajara;0;1;331;0;45;5
Gipuzkoa;7;9;2029;0;101;6
Huelva;10;8;875;0;54;3
Huesca;0;1;198;0;36;0
Jaén;3;7;920;0;98;3
León;4;4;512;1;54;6
Lleida;2;9;861;4;35;2
Rioja (La);6;3;523;1;18;2
Lugo;0;12;269;1;16;0
Madrid;1714;304;19541;19;1042;177
Málaga;19;39;8137;6;502;42
Murcia;4;12;3660;4;560;8
Navarra;3;23;1065;1;66;2
Ourense;0;4;218;0;23;3
Asturias;3;44;1706;3;140;10
Palencia;0;1;98;0;12;1
Palmas (Las);14;35;2723;1;202;20
Pontevedra;14;17;2106;0;91;30
Salamanca;0;5;409;1;29;1
Santa Cruz de Tenerife;17;36;3521;1;179;19
Cantabria;3;15;1199;1;85;10
Segovia;0;0;99;1;9;0
Sevilla;7;21;4651;0;169;35
Soria;0;0;105;0;8;1
Tarragona;90;8;2137;2;169;12
Teruel;0;0;140;0;5;1
Toledo;14;19;1388;0;51;4
Valencia/València;97;34;7093;0;560;26
Valladolid;1;11;849;4;79;7
Bizkaia;16;10;1708;5;100;8
Zamora;0;2;140;1;10;2
Zaragoza;4;18;2188;3;101;5
Ceuta;0;1;685;1;29;6
Melilla;0;0;298;0;9;1
Total;2693;1021;132604;96;7703;838
