V.1.11 Matriculaciones de motocicletas por distintivo medioambiental. Año 2019.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;2;0;505;1;4;15
Albacete;0;0;946;2;14;15
Alicante/Alacant;43;14;7346;3;276;81
Almería;4;2;1715;2;53;27
Ávila;3;0;93;0;8;4
Badajoz;4;1;1191;1;13;13
Balears (Illes);113;11;5889;1;121;78
Barcelona;465;16;36223;22;145;289
Burgos;7;0;433;2;14;8
Cáceres;1;3;575;1;5;5
Cádiz;49;1;6087;7;62;30
Castellón/Castelló;5;2;1013;0;19;24
Ciudad Real;0;0;514;3;8;11
Córdoba;5;3;2081;2;20;8
Coruña (A);3;3;1535;4;53;41
Cuenca;2;0;179;0;4;4
Girona;18;5;4108;3;29;38
Granada;15;1;4275;5;59;14
Guadalajara;3;0;361;0;2;16
Gipuzkoa;5;0;2409;0;28;19
Huelva;63;1;1433;4;11;29
Huesca;1;0;173;0;8;7
Jaén;20;1;1059;4;11;21
León;17;0;701;4;17;25
Lleida;1;2;1066;0;5;30
Rioja (La);2;1;573;1;0;7
Lugo;0;2;294;1;7;6
Madrid;5260;21;27052;30;183;446
Málaga;123;6;10507;1;206;71
Murcia;24;9;5044;4;130;48
Navarra;14;0;1374;2;19;14
Ourense;1;1;311;0;19;8
Asturias;10;2;2126;3;17;25
Palencia;5;0;122;1;3;5
Palmas (Las);218;3;3635;0;41;15
Pontevedra;12;4;2901;1;50;43
Salamanca;1;1;495;4;7;0
Santa Cruz de Tenerife;29;16;4575;4;68;13
Cantabria;12;0;1689;3;19;29
Segovia;1;1;174;1;3;0
Sevilla;20;0;6632;6;34;48
Soria;0;0;98;0;2;2
Tarragona;97;3;3199;1;35;35
Teruel;1;0;173;1;8;2
Toledo;24;1;2128;3;16;22
Valencia/València;195;3;9993;2;98;81
Valladolid;12;2;1242;0;5;15
Bizkaia;31;2;2302;4;15;14
Zamora;0;0;216;0;2;3
Zaragoza;47;2;2798;2;26;20
Ceuta;3;0;763;0;3;6
Melilla;1;0;479;0;3;0
Total;6992;146;172805;146;2008;1830
