V.1.10 Matriculaciones de turismos por distintivo medioambiental. Año 2020.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;179;84;4780;988;31;484
Albacete;120;110;3156;790;26;2070
Alicante/Alacant;848;2173;31030;4804;625;3078
Almería;167;887;5170;975;194;41
Ávila;45;37;818;168;13;3
Badajoz;225;377;7186;1055;25;16
Balears (Illes);732;364;15050;1650;196;3030
Barcelona;4229;1253;75371;18568;257;9116
Burgos;187;175;3686;1086;32;141
Cáceres;66;125;2083;493;27;7
Cádiz;313;489;11366;1976;533;66
Castellón/Castelló;186;349;6701;1446;95;790
Ciudad Real;129;105;4008;541;27;7
Córdoba;333;547;9999;1291;68;115
Coruña (A);467;855;11477;2632;217;115
Cuenca;39;101;783;111;24;6
Girona;359;540;8064;1643;98;1580
Granada;264;1089;7519;1410;157;42
Guadalajara;168;168;2471;334;22;12
Gipuzkoa;291;183;8248;1589;67;597
Huelva;67;240;1804;501;46;10
Huesca;120;80;3272;463;31;200
Jaén;129;611;6175;645;75;25
León;161;244;4188;911;57;225
Lleida;213;183;4950;864;62;470
Rioja (La);135;162;3294;685;33;321
Lugo;141;213;4029;609;48;15
Madrid;18576;1836;214144;55834;266;16839
Málaga;643;1596;18272;2568;527;2231
Murcia;510;3043;16108;2894;451;524
Navarra;324;354;7296;1164;92;202
Ourense;96;457;3177;642;99;22
Asturias;489;303;9058;1687;140;1389
Palencia;26;24;1292;64;11;124
Palmas (Las);846;142;14316;1905;90;542
Pontevedra;214;818;7139;1053;191;310
Salamanca;156;101;4275;2406;17;55
Santa Cruz de Tenerife;414;279;11510;1249;171;28
Cantabria;459;414;7965;1604;60;414
Segovia;72;26;1320;342;12;19
Sevilla;467;374;19971;2939;134;67
Soria;37;34;813;132;13;1
Tarragona;369;694;8920;1686;180;892
Teruel;42;13;1320;247;11;2
Toledo;1489;837;21192;2235;126;3568
Valencia/València;1075;976;28834;5282;216;2695
Valladolid;205;196;4891;1172;41;13
Bizkaia;606;392;12494;2988;53;1377
Zamora;57;76;1208;288;29;4
Zaragoza;326;288;7966;1895;80;3329
Ceuta;16;55;810;94;36;3
Melilla;16;120;868;140;118;4
Total;37843;25192;671837;140738;6250;57236
