V.1.10 Matriculaciones de turismos por distintivo medioambiental. Año 2019.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;46;125;6356;632;54;507
Albacete;28;207;5245;518;41;1482
Alicante/Alacant;242;3202;69867;4106;896;5997
Almería;23;1004;8490;854;288;30
Ávila;17;47;1205;211;29;8
Badajoz;20;489;10456;876;51;24
Balears (Illes);434;715;45010;2798;474;7343
Barcelona;2444;1777;131044;19367;629;13296
Burgos;55;227;5864;1208;55;188
Cáceres;10;188;2753;426;52;10
Cádiz;61;854;17789;1822;677;58
Castellón/Castelló;39;435;14781;915;144;2473
Ciudad Real;19;124;5656;428;61;18
Córdoba;59;943;10809;848;91;46
Coruña (A);125;1048;15995;2711;391;138
Cuenca;3;74;1036;76;30;3
Girona;108;770;13042;1563;199;1297
Granada;71;1402;11195;1277;269;27
Guadalajara;108;235;3753;341;26;15
Gipuzkoa;87;263;12201;1072;90;700
Huelva;17;372;3987;444;80;16
Huesca;9;98;4667;353;44;198
Jaén;17;908;8952;501;154;20
León;47;349;5926;694;102;216
Lleida;49;238;7473;692;96;381
Rioja (La);23;214;4737;583;59;249
Lugo;26;242;5177;398;104;14
Madrid;8140;3543;294167;54379;654;24354
Málaga;146;2396;31023;2782;922;1680
Murcia;92;3374;24343;2534;546;209
Navarra;98;597;11139;895;169;290
Ourense;29;426;4317;508;201;49
Asturias;206;468;16025;1659;217;1815
Palencia;8;39;1393;36;20;17
Palmas (Las);411;244;33664;1966;165;968
Pontevedra;77;904;10323;509;368;107
Salamanca;30;170;5843;2378;53;90
Santa Cruz de Tenerife;197;455;21820;904;334;45
Cantabria;75;452;11808;1256;87;84
Segovia;16;47;1532;294;17;36
Sevilla;122;574;32181;3331;179;106
Soria;9;26;1184;108;14;7
Tarragona;159;998;14225;1403;369;544
Teruel;5;30;1867;166;14;3
Toledo;1952;1099;64641;3108;130;1415
Valencia/València;330;1346;47860;2913;334;3063
Valladolid;68;388;6949;954;53;110
Bizkaia;183;620;18502;2176;124;1655
Zamora;23;111;1564;217;45;3
Zaragoza;130;515;11978;1593;122;4531
Ceuta;8;147;1167;83;85;7
Melilla;12;300;1201;118;328;5
Total;16713;35819;1104182;131984;10736;75947
