,id,lat,lon,name,capacity,Distrito
37,422714573,37.4085658,-5.970531, Alcalde Manuel del Valle,20,3
38,440258931,37.3898408,-5.9911886, Calle Cuesta de Rosario,15,2
39,493228462,37.4096545,-5.9842555, Calle Doctor Jaime Marcos,20,2
40,493228463,37.4129322,-5.9848934, Ronda Urbana Norte,20,3
41,622489393,37.3886194,-6.010298, Calle Alfarería,20,3
42,622496292,37.3895726,-6.0076755, Plaza Chapina,20,1
43,708992103,37.3951765,-5.9908929, Plaza San Juan de la Palma,15,2
44,708992264,37.3942887,-5.9917052, Calle Regina,19,4
45,748477304,37.3920955,-5.9785982, Calle Jose Laguillo,20,3
46,750031553,37.3988222,-5.9936337, Alameda de Hércules,20,4
47,752280060,37.3898804,-5.9744805, Avenida Kansas City,18,3
48,794741886,37.3966427,-5.9898701, Calle Churruca,15,2
49,808006683,37.4230116,-5.9665727, Calle Agricultores,20,1
50,808006780,37.4204849,-5.9678863, Calle Mar de Alborán,20,3
51,808006878,37.4178443,-5.9692737, Mar de Alborán,20,4
52,819727080,37.4034791,-5.9812041, Avenida de la Cruz Roja,20,4
53,819727142,37.4162681,-5.9673386, Calle Pino Montano,20,4
54,824429147,37.3955925,-6.0024431, Avenida Torneo,20,1
55,824430481,37.393964,-5.9968487, Plaza de la Concordia,19,4
56,829576855,37.4219153,-5.9830562, Glorieta de los Ferroviarios,15,2
57,829576859,37.4219455,-5.9853727, Calle de Salvador Allende,15,4
58,830197266,37.4129286,-5.9889886, Glorieta Olímpica,20,2
59,834063244,37.4025422,-5.9700919, Carretera de Carmona,15,4
60,835821605,37.4049325,-5.9690227, Alcalde Manuel del Valle,20,4
61,837160633,37.3772116,-5.981927, Calle Doctor Pedro de Castro,15,2
62,837160639,37.3837427,-5.977445, Avenida Eduardo Dato,15,1
63,837182436,37.387629,-5.9658559, Calle Luis Montoto,19,4
64,837182437,37.3871884,-5.9709854, Calle Luis Montoto,15,3
65,837182438,37.386976,-5.9780512, Avenida la Buhaira,20,3
66,837182439,37.3875779,-5.9810425, Calle Luis Montoto,20,1
67,842633327,37.3783622,-5.9794282, Avda. Ramón y Cajal,30,3
68,844175463,37.3767898,-5.9978311, Calle Virgen de la Victoria,15,1
69,844175569,37.3870633,-6.0012385, Calle Arjona,20,4
70,847056780,37.3583986,-5.9864347, Avenida Reina Mercedes,25,3
71,847280697,37.3681002,-5.9846888, Avenida Cardenal Bueno Monreal,20,4
72,847280707,37.3660853,-5.975, Calle Alfonso Laso de la Vega,19,3
73,857590750,37.4056509,-5.9984993, Puerta de la Barqueta,40,1
74,857590763,37.381594,-5.9652201, Gran Plaza,18,3
75,857590780,37.4070889,-6.0029652, Camino de los Descubrimientos,20,2
76,857590795,37.411072,-6.0019106, Camino de los Descubrimientos,40,4
77,857590803,37.4075399,-6.0074235, Calle Américo Vespucio,20,4
78,857590814,37.4101736,-6.0056507, Calle Leonardo Da Vinci,40,3
79,857590817,37.4028157,-6.0040768, Camino de los Descubrimientos,20,4
80,857590828,37.4014414,-6.0090248, Calle Américo Vespucio,20,4
81,863924490,37.391543,-5.9684556, Avenida Solea,18,1
82,864118815,37.3819962,-5.9680625, Avenida Eduardo Dato,20,4
83,864118957,37.3899255,-5.9708167, Calle Sinaí,14,3
84,864119032,37.3774781,-5.9608944, Ronda Tamarguillo - Plaza Ruperto Chapí,20,4
85,864119233,37.3734928,-5.9649124, Glorieta Bizco Amate,13,3
86,864119295,37.3750834,-5.9675634, Avenida Ramón y Cajal,18,4
87,869594384,37.4072386,-5.9853451, Calle Dr Marañón,15,2
88,869594388,37.4066763,-5.9930831, Calle Avicena,20,2
89,869594391,37.4090933,-5.9909552, Calle José Díaz,20,1
90,869594396,37.4068864,-5.9891263, Avenida Sánchez Pizjuán,40,2
91,869594399,37.4047516,-5.9866992, Calle San Juan de Ribera,15,1
92,869594406,37.4070186,-5.9826416, Calle de Manuel Villalobos,20,4
93,876137839,37.3867693,-5.9539833, Calle Zorzal,15,4
94,876138552,37.3875947,-5.9608451, Avenida de Andalucía,20,4
95,876193970,37.4038631,-5.9835274, Calle León XIII,15,3
96,876193973,37.3602749,-5.976717, Calle Rafael Salgado,18,2
97,876193981,37.3825989,-5.9711549, Avenida Eduardo Dato,20,2
98,876193985,37.4055781,-5.9814785, Calle Manuel Villalobos,20,2
99,876527262,37.4054796,-5.9303242, Avenida Alcalde Luis Uruñuela,15,1
100,876527263,37.3944959,-5.921065, Avenida de las Ciencias,15,1
101,876527267,37.3907156,-5.9591607, Calle de la A.D.A.,15,2
102,876527334,37.4051738,-5.9331764, Avenida Alcalde Luis Uruñuela,16,4
