V.1.1.2.CA Matriculación por tipos de vehículos y procedencia. Por Comunidades Autónomas. Año 2018.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"COMUNIDADES
AUTÓNOMAS";"TOTAL
GENERAL.
Nacional";"TOTAL
GENERAL.
Importacion";"TOTAL
GENERAL.
Subasta";"TOTAL
GENERAL.
General";"Cam
<=
3500
Na";"Cam
<=
3500
Imp";"Cam
<=
3500
Su";"Tot
Cam
<=
3500";"Furgo
Na";"Furgo
Imp";"Furgo
Su";"Tot
Furgo";"Camiones
> 3500
Nacional";"Camiones >
3500
Importacion";"Camiones
> 3500
Subasta";"Total
Camiones
> 3500";"Autobuses
Nacional";"Autobuses
Importacion";"Autobuses
Subasta";"Total
Autobuses";"Turismos
Nacional";"Turismos
Importacion";"Turismos
Subasta";"Total
Turismos";"Moto
Nacional";"Moto
Importacion";"Moto
Subasta";"Total
Moto";"Tractor
Nacional";"Tractor
Importacion";"Tractor
Subasta";"Total
Tractor";"Otros
Nacional";"Otros
Importacion";"Otros
Subasta";"Total
Otros"
Andalucía;16793;203819;7;220619;1600;6392;0;7992;772;11596;2;12370;539;975;0;1514;151;259;0;410;12978;150772;5;163755;413;30380;0;30793;233;2385;0;2618;107;1060;0;1167
Aragón;2371;34586;0;36957;232;1390;0;1622;154;2338;0;2492;65;231;0;296;25;85;0;110;1751;26701;0;28452;58;2912;0;2970;61;789;0;850;25;140;0;165
"Asturias
(Principado de)";2298;24284;1;26583;119;455;0;574;141;1580;0;1721;76;88;0;164;24;76;0;100;1694;19860;1;21555;63;1883;0;1946;77;211;0;288;104;131;0;235
Balears (Illes);5055;63601;0;68656;531;1998;0;2529;177;2619;0;2796;145;77;0;222;120;57;0;177;4018;52425;0;56443;28;6357;0;6385;8;41;0;49;28;27;0;55
Canarias;9802;81106;5;90913;5673;5186;1;10860;508;4093;0;4601;263;151;0;414;145;189;0;334;3084;63021;2;66107;67;7914;2;7983;9;109;0;118;53;443;0;496
Cantabria;1585;15790;0;17375;129;337;0;466;46;777;0;823;42;26;0;68;7;19;0;26;1312;12818;0;14130;11;1418;0;1429;21;338;0;359;17;57;0;74
Castilla y León;5237;49753;3;54993;429;1413;0;1842;208;3349;3;3560;245;180;0;425;75;56;0;131;4021;39946;0;43967;104;3354;0;3458;79;1139;0;1218;76;316;0;392
"Castilla-La
Mancha";13732;82526;4;96262;718;3339;0;4057;477;5719;1;6197;235;244;1;480;62;144;0;206;11862;68610;1;80473;92;3442;1;3535;248;951;0;1199;38;77;0;115
Cataluña;24977;274670;8;299655;2784;8936;0;11720;2984;19179;1;22164;1188;1125;0;2313;306;284;0;590;16808;199340;7;216155;523;42412;0;42935;217;1611;0;1828;167;1783;0;1950
Ceuta y Melilla;181;4808;1;4990;11;55;0;66;10;316;0;326;0;5;0;5;0;2;0;2;150;3250;1;3401;6;1162;0;1168;0;1;0;1;4;17;0;21
"Comunitat
Valenciana";18585;180698;5;199288;1336;4346;0;5682;1223;7884;0;9107;550;472;0;1022;92;113;0;205;14860;148407;5;163272;157;16999;0;17156;197;1681;0;1878;170;796;0;966
Extremadura;2248;18862;0;21110;243;761;0;1004;195;1128;0;1323;118;88;0;206;14;48;0;62;1617;14945;0;16562;25;1547;0;1572;27;327;0;354;9;18;0;27
Galicia;4590;58513;0;63103;393;1188;0;1581;286;4107;0;4393;241;351;0;592;111;211;0;322;3258;46819;0;50077;115;4530;0;4645;150;786;0;936;36;521;0;557
"Madrid
(Comunidad de)";39119;461859;15;500993;2121;15249;1;17371;5787;42420;3;48210;948;887;3;1838;171;648;0;819;29047;371888;3;400938;750;27139;5;27894;148;2976;0;3124;147;652;0;799
"Murcia (Región
de)";3604;39900;6;43510;344;1283;0;1627;175;2335;0;2510;142;364;0;506;20;34;0;54;2742;29446;6;32194;58;4681;0;4739;108;1534;0;1642;15;223;0;238
"Navarra
(Comunidad Foral
de)";1925;16290;0;18215;179;527;0;706;100;1315;0;1415;79;53;0;132;24;47;0;71;1462;12444;0;13906;29;1154;0;1183;29;586;0;615;23;164;0;187
País Vasco;6124;53445;0;59569;460;1865;0;2325;201;3435;0;3636;249;134;0;383;99;98;0;197;4831;41686;0;46517;68;4763;0;4831;34;688;0;722;182;776;0;958
Rioja (La);904;7861;0;8765;73;267;0;340;44;639;0;683;32;69;0;101;11;21;0;32;714;6140;0;6854;25;547;0;572;2;143;0;145;3;35;0;38
Total;159130;1672371;55;1831556;17375;54987;2;72364;13488;114829;10;128327;5157;5520;4;10681;1457;2391;0;3848;116209;1308518;31;1424758;2592;162594;8;165194;1648;16296;0;17944;1204;7236;0;8440
