V.1.1.C.A. Matriculación por tipos de vehículos y Comunidades Autónomas. Año 2020.;;;;;;;;;
;;;;;;;;;
COMUNIDADES AUTÓNOMAS;"Camiones
<= 3500";Furgonetas;"Camiones >
3500";Autobuses;Turismos;Motocicletas;Tractores;Otros;Total
Andalucía;5496;9922;1229;186;105128;29153;2714;1460;155288
Aragón;777;1927;235;32;19685;2985;622;153;26416
Asturias (Principado de);1006;1305;132;75;13066;2133;211;318;18246
Balears (Illes);1070;1327;121;76;21022;3912;29;57;27614
Canarias;5177;3111;217;167;31492;7635;97;634;48530
Cantabria;281;699;78;5;10916;1786;284;87;14136
Castilla y León;1276;2915;372;69;31729;4057;696;450;41564
Castilla-La Mancha;1460;4031;412;75;44775;3614;961;137;55465
Cataluña;6491;12774;1740;245;140561;39206;2131;2267;205415
Comunitat Valenciana;4131;6887;758;156;91203;16090;1693;762;121680
Extremadura;538;981;161;23;11685;1864;390;45;15687
Galicia;1241;3217;474;168;35036;5223;704;559;46622
Madrid (Comunidad de);13074;45217;1464;693;307495;30918;3175;971;403007
Murcia (Región de);1101;2374;505;17;23530;4658;1589;324;34098
Navarra (Comunidad Foral de);399;902;98;50;9432;1505;386;238;13010
País Vasco;1391;2488;265;219;35431;5563;424;981;46762
Rioja (La);213;436;142;11;4630;707;116;55;6310
Ceuta y Melilla;17;132;1;1;2280;1251;3;11;3696
Total;45139;100645;8404;2268;939096;162260;16225;9509;1283546
